,X0,Y0,X1,Y1
0,1369,809,1387,1344
1,1368,813,1386,1351
2,2656,752,2678,755
3,1507,929,1526,1473
4,2866,773,2902,782
5,657,891,667,898
6,2866,793,2887,797
7,1515,913,1531,1370
8,1925,869,1937,857
9,1519,1309,1525,1489
10,1530,1446,1530,1459
11,1373,879,1385,1111
12,1507,803,1528,1398
13,2934,756,2946,758
14,1382,1298,1387,1452
15,2780,791,2799,794
16,1366,826,1376,1102
17,2100,793,2113,798
18,2238,848,2249,852
19,1519,991,1532,1366
20,372,849,382,848
21,2003,761,2027,770
22,2174,752,2245,762
23,1510,840,1528,1344
24,1505,774,1526,1376
25,2890,774,2915,778
26,1374,856,1384,1055
27,2864,776,2891,780
28,636,901,672,892
29,2142,768,2152,778
30,1386,1008,1388,1055
31,2833,799,2843,801
32,1611,753,1671,752
33,2866,794,2884,801
34,2249,821,2270,833
35,2900,790,2929,795
36,616,957,626,955
37,2187,763,2222,768
38,2236,772,2282,780
39,2869,793,2897,797
40,2221,820,2232,819
41,1010,865,1023,865
42,1381,1310,1386,1457
43,1999,761,2028,772
44,256,1036,268,1034
45,1249,844,1260,844
46,2781,790,2798,790
47,2970,747,2986,747
48,247,924,258,923
49,1379,887,1380,909
50,2585,1458,2599,1455
51,182,1221,192,1223
52,2083,743,2100,746
53,730,880,747,877
54,810,891,833,889
55,1435,1482,1476,1459
56,2187,767,2238,763
57,1511,1116,1517,1312
58,2834,813,2844,813
59,2486,807,2499,809
60,2017,746,2037,766
61,1479,1469,1515,1474
62,1366,1454,1385,1458
63,2944,851,2979,816
64,1370,1429,1388,1438
65,2887,826,2908,837
66,908,1064,920,1049
67,2284,748,2300,748
68,2879,784,2913,791
69,2897,812,2909,812
70,1389,1329,1389,1115
71,2191,748,2229,742
72,1470,840,1491,836
73,2301,798,2314,797
74,2226,798,2242,801
75,2247,817,2270,830
76,1302,931,1318,917
77,2425,1385,2437,1401
78,2244,778,2264,778
79,1510,1116,1510,1144
80,1825,762,1839,769
81,1373,892,1389,1343
82,1365,844,1378,843
83,2954,743,2977,746
84,1321,1411,1326,1466
85,2183,770,2246,765
86,1503,792,1523,1375
87,882,891,898,888
88,394,1461,406,1453
89,2969,749,2996,749
90,1989,764,1999,769
91,1726,759,1741,756
92,2422,803,2434,805
93,1514,1417,1533,1406
94,1522,1032,1533,1347
95,1398,1471,1513,1475
96,863,885,873,884
97,2198,764,2245,761
98,1363,742,1373,741
99,2654,752,2680,757
100,1290,1306,1302,1422
101,1024,875,1038,874
102,2887,825,2909,833
103,2660,745,2676,749
104,1515,1425,1533,1415
105,2981,802,2997,805
106,1194,872,1206,869
107,2782,795,2798,797
108,1698,750,1739,750
109,1369,778,1378,768
110,1366,788,1377,788
111,1921,747,1944,749
112,1514,1416,1532,1405
113,643,896,669,890
114,2762,770,2772,769
115,2714,753,2726,758
116,1325,865,1344,862
117,2105,797,2112,810
118,2214,760,2228,760
119,1829,765,1840,764
120,2210,748,2220,747
121,2917,835,2929,835
122,2956,742,2975,741
123,1498,845,1508,839
124,1306,1464,1306,1453
125,1512,1236,1532,1217
126,5,935,18,935
127,794,873,808,872
128,1042,810,1052,809
129,1439,838,1457,837
130,2442,787,2461,787
131,1372,804,1379,792
132,2159,756,2194,753
133,1361,828,1381,822
134,2416,799,2431,799
135,1301,834,1324,834
136,725,888,747,878
137,2141,774,2175,772
138,1413,1469,1513,1474
139,1916,751,1928,751
140,904,815,921,815
141,365,923,381,919
142,2949,839,2972,840
143,2796,989,2811,992
144,2654,746,2673,746
145,2237,775,2248,775
146,1362,739,1372,737
147,1362,735,1373,733
148,810,892,833,891
149,1382,1271,1399,1261
150,2249,774,2278,773
151,2194,861,2215,861
152,2235,770,2250,769
153,2924,757,2944,759
154,2947,841,2966,841
155,1513,1243,1531,1225
156,316,853,328,852
157,2171,756,2192,755
158,1512,1221,1530,1203
159,1019,813,1030,813
160,824,867,834,866
161,866,890,890,889
162,2954,763,2995,759
163,1351,933,1358,918
164,2208,764,2246,766
165,2215,856,2241,856
166,2117,746,2143,746
167,1099,962,1118,948
168,2310,795,2330,795
169,1369,774,1377,761
170,1629,809,1641,808
171,2630,749,2654,757
172,2910,841,2921,846
173,1329,927,1342,916
